OP,A1,A2,A3
+,776,705,608
+,507,298,33
+,895,295,723
+,922,719,880
+,33,72,703
+,483,946,270
+,85,810,640
+,750,677,823
+,354,202,435
+,523,557,230
+,184,152,930
+,809,846,145
+,418,61,169
+,615,314,609
+,682,844,582
+,501,295,449
+,760,479,705
+,49,716,412
+,732,278,512
+,336,505,448
+,450,612,40
+,790,442,752
+,350,618,256
+,467,93,234
+,622,690,856
+,476,589,601
+,614,21,783
+,554,841,275
+,365,41,781
+,770,179,481
+,630,667,452
+,940,284,185
+,797,446,650
+,496,503,992
+,924,481,356
+,369,341,328
+,596,107,878
+,720,337,421
+,53,507,295
+,426,967,410
+,56,778,563
+,264,465,90
+,772,258,331
+,185,993,791
+,466,885,526
+,789,1,673
+,174,555,473
+,150,55,192
+,741,370,637
+,113,510,640
+,428,778,52
+,965,273,562
+,18,949,294
+,189,901,715
+,414,124,29
+,589,645,623
+,666,245,726
+,763,318,564
+,221,565,417
+,586,230,861
+,581,116,472
+,299,120,663
+,638,157,510
+,386,733,298
+,364,722,279
+,879,854,494
+,334,249,467
+,16,148,392
+,202,943,613
+,1,764,900
+,38,884,71
+,290,791,808
+,493,424,348
+,247,806,519
+,506,840,2
+,896,743,305
+,713,601,593
+,891,501,886
+,76,457,551
+,911,353,340
+,792,781,556
+,508,466,955
+,177,890,193
+,842,244,585
+,200,239,876
+,765,420,44
+,909,762,484
+,293,935,830
+,538,395,679
+,24,840,667
+,694,507,987
+,210,129,514
+,424,604,339
+,528,102,895
+,34,450,102
+,928,932,467
+,398,739,147
+,607,891,670
+,298,158,76
+,848,800,992
+,668,346,638
+,282,407,665
+,939,872,336
+,944,690,879
+,606,389,977
+,959,641,735
+,934,777,499
+,731,554,36
+,287,70,240
+,527,700,943
+,807,232,764
+,229,444,100
+,436,648,720
+,28,102,454
+,374,710,306
+,819,29,47
+,316,815,57
+,560,367,383
+,241,149,250
+,149,421,579
+,516,811,184
+,417,179,80
+,660,891,391
+,198,699,246
+,585,934,597
+,325,237,472
+,823,260,470
+,702,682,9
+,949,823,476
+,515,294,693
+,864,161,75
+,836,967,353
+,877,306,654
+,359,434,706
+,594,467,865
+,788,203,393
+,188,494,109
+,66,390,585
+,355,588,302
+,799,302,22
+,902,674,405
+,920,8,579
+,942,702,796
+,330,996,50
+,727,620,763
+,396,852,925
+,463,293,794
+,393,235,621
+,311,360,224
+,680,194,635
+,744,694,773
+,921,785,675
+,461,858,140
+,522,99,925
+,631,661,40
+,490,807,451
+,195,593,373
+,256,134,92
+,693,302,334
+,740,425,179
+,577,135,805
+,157,897,994
+,612,543,513
+,392,279,850
+,969,263,935
+,688,966,493
+,361,825,302
+,816,891,346
+,401,117,479
+,92,77,144
+,917,989,231
+,489,692,741
+,451,406,990
+,251,823,570
+,653,92,809
+,769,14,270
+,670,126,465
+,129,688,766
+,637,268,598
+,991,842,653
+,342,380,110
+,308,239,482
+,136,634,905
+,88,574,335
+,327,624,226
+,475,64,650
+,981,475,931
+,850,309,664
+,892,119,143
+,375,968,38
+,178,504,118
+,26,240,908
+,349,138,397
+,499,379,686
+,474,760,713
+,617,553,429
+,697,760,744
+,50,906,424
+,211,101,853
+,381,630,417
+,883,974,286
+,173,706,379
+,147,454,455
+,419,241,875
+,961,101,702
+,148,557,923
+,975,367,62
+,79,282,194
+,775,125,971
+,302,843,465
+,995,678,217
+,525,654,611
+,774,21,51
+,231,341,249
+,625,805,578
+,800,70,849
+,561,567,212
+,509,221,832
+,840,238,336
+,494,151,807
+,119,610,2
+,477,879,148
+,144,553,256
+,29,178,112
+,910,887,26
+,121,15,366
+,605,807,243
+,61,331,16
+,871,271,53
+,572,759,431
+,5,116,763
+,926,487,459
+,639,370,525
+,439,111,462
+,729,226,968
+,193,44,744
+,752,930,887
+,626,533,308
+,571,658,987
+,17,62,490
+,742,411,436
+,914,110,502
+,510,931,454
+,573,920,82
+,138,622,151
+,191,129,281
+,4,648,599
+,443,729,332
+,20,611,543
+,213,464,517
+,64,440,101
+,411,718,117
+,301,670,666
+,333,787,564
+,192,886,220
+,664,462,909
+,262,423,347
+,647,464,408
+,810,747,97
+,232,437,320
+,795,261,383
+,681,156,703
+,804,485,68
+,482,851,87
+,360,442,98
