OP,A1,A2,A3
+,30637,53,715
+,23386,823,382
+,21847,52,61
+,29296,740,713
+,9020,491,988
+,18081,87,319
+,29986,596,86
+,17989,94,960
+,11321,256,234
+,16943,492,547
+,13709,174,646
+,1976,967,819
+,1405,497,817
+,15726,79,561
+,2837,99,46
+,11794,687,415
+,6073,537,327
+,28115,308,131
+,2189,779,465
+,3916,54,416
+,5303,561,667
+,612,2,146
+,21910,438,841
+,1300,672,202
+,1285,946,828
+,18047,73,381
+,28686,269,183
+,11256,760,200
+,28707,413,34
+,31297,189,199
+,31680,189,981
+,17897,442,895
+,17138,1000,662
+,5181,964,343
+,12769,712,19
+,15246,334,937
+,28866,141,172
+,9500,758,97
+,31232,296,807
+,25734,27,413
+,26295,491,37
+,31057,322,77
+,18245,327,756
+,26917,579,145
+,14477,97,880
+,29682,434,914
+,23591,210,869
+,352,531,144
+,7561,138,873
+,12330,284,38
+,10257,327,237
+,5360,1000,601
+,2756,188,680
+,29198,48,381
+,3597,143,670
+,28121,97,983
+,29057,756,628
+,15759,47,870
+,15788,116,776
+,10846,262,547
+,5448,214,228
+,25090,103,197
+,28921,657,178
+,24435,185,529
+,22988,978,996
+,6561,815,219
+,9078,249,750
+,6277,260,343
+,30802,880,421
+,4211,290,341
+,21692,221,311
+,26537,512,409
+,16436,791,823
+,21381,624,453
+,7573,812,5
+,18581,270,597
+,26898,440,439
+,24076,274,178
+,5778,55,747
+,5632,597,973
+,6439,253,447
+,2889,464,651
+,16277,484,640
+,25474,887,840
+,26847,283,677
+,26752,563,652
+,22717,369,181
+,16446,483,850
+,978,364,414
+,22909,792,94
+,16846,704,181
+,8167,982,413
+,23043,833,340
+,30286,867,67
+,28504,499,782
+,22451,399,983
+,18271,378,806
+,30482,893,654
+,6185,62,634
+,8045,426,426
+,29259,107,272
+,2107,801,378
+,11618,255,414
+,3607,595,714
+,19629,163,295
+,13351,452,796
+,29190,277,945
+,18798,403,444
+,25372,325,682
+,6569,346,213
+,22054,594,715
+,23886,716,948
+,857,130,780
+,21342,901,784
+,29475,564,909
+,8171,765,255
+,20466,296,207
+,3767,932,724
+,7492,397,505
+,3629,606,154
+,4112,105,346
+,6924,83,160
+,19363,468,884
+,26169,714,956
+,20941,973,201
+,9063,640,560
+,10078,229,331
+,4686,217,962
+,6806,293,420
+,10019,336,512
+,16809,439,252
+,2755,591,26
