OP,A1,A2,A3
+,4201,144,775
+,2125,172,713
+,4209,566,168
+,3259,249,947
+,35,41,136
+,7223,810,867
+,4878,627,385
+,4285,161,16
+,1443,498,82
+,3915,7,183
+,7290,91,723
+,4818,607,908
+,3909,426,710
+,852,811,791
+,6163,708,129
+,7107,146,655
+,3661,535,461
+,1074,244,960
+,4930,625,708
+,7307,610,184
+,4157,511,626
+,1096,90,642
+,3461,801,308
+,266,428,4
+,4755,241,196
+,7853,542,1000
+,4152,633,370
+,5426,779,552
+,6649,224,475
+,1364,641,675
+,6995,283,54
+,2158,115,815
+,862,701,864
+,7902,933,485
+,567,180,163
+,7314,944,44
+,6152,660,372
+,4329,214,445
+,90,342,631
+,2845,911,776
+,1186,44,106
+,3931,53,947
+,3270,180,161
+,5399,29,496
+,4413,118,72
+,722,240,738
+,5358,606,593
+,5141,429,203
+,3357,693,919
+,4459,235,797
+,1515,333,233
+,1452,242,755
+,635,890,204
+,6744,912,225
+,6070,482,599
+,6359,55,911
+,5214,148,221
+,5352,624,465
+,6009,396,382
+,6918,468,737
+,3028,647,367
+,6563,276,207
+,2342,130,32
+,3637,582,61
+,2054,139,113
+,7397,476,469
+,7572,175,778
+,6002,225,907
+,314,618,160
+,5248,813,653
+,1564,626,927
+,3977,591,993
+,4431,875,235
+,5002,421,877
+,1258,500,882
+,7104,605,484
+,7899,473,285
+,234,747,438
+,1238,893,252
+,680,335,444
+,1802,227,913
+,6482,605,968
+,102,935,587
+,7258,5,427
+,6162,41,481
+,2749,787,516
+,5454,435,543
+,3130,490,829
+,5668,713,841
+,3324,463,507
+,5967,85,571
+,3363,12,709
+,5340,416,972
+,6368,135,367
+,5928,244,663
+,7952,16,491
+,10,312,165
+,1622,470,878
+,4399,765,597
+,5678,999,465
+,2694,790,141
+,4793,720,415
+,6691,808,892
+,7245,641,475
+,4762,648,1
+,2137,642,72
+,997,914,707
+,4438,543,33
+,3233,436,770
+,1163,714,968
+,4774,555,589
+,2047,212,806
+,4037,82,635
+,1174,343,753
+,2568,56,527
+,4356,931,690
+,4084,909,52
+,714,392,374
+,6105,633,41
+,7301,375,179
+,1009,572,721
+,6745,574,726
+,3037,209,141
+,3783,244,552
+,966,664,489
+,7871,961,770
+,2257,892,982
+,519,214,771
+,3701,779,230
+,3737,361,919
+,7829,515,696
+,7545,283,55
+,5028,381,353
+,6777,497,513
+,3488,849,125
+,1686,726,544
+,6646,845,545
+,3709,299,462
+,6626,376,819
+,2373,968,709
+,4634,963,904
+,7885,192,913
+,2486,468,89
+,1820,400,919
+,7219,295,981
+,7224,78,111
+,4972,282,114
+,6789,151,508
+,113,895,209
+,5107,974,642
+,7332,300,426
+,1281,698,554
+,4832,135,485
+,6725,430,454
+,1668,660,21
+,2183,193,64
+,6111,892,821
+,2113,854,970
+,156,660,343
+,2725,592,351
+,7152,661,805
+,224,497,607
+,6449,713,542
+,7189,561,455
+,1502,311,580
+,5746,919,808
+,4048,175,808
+,2653,232,495
+,7873,994,295
+,6175,865,48
+,457,361,291
+,682,979,170
+,2071,946,164
+,41,548,292
+,7367,996,179
+,4063,725,709
+,1459,682,813
+,2674,165,243
+,6741,42,324
+,3665,129,451
+,752,378,188
+,7635,575,724
+,7118,681,324
+,7276,151,381
+,271,552,998
+,790,546,308
+,5890,942,25
+,2322,953,511
+,6180,148,970
+,7495,950,327
+,3489,4,993
+,4714,559,999
+,861,339,662
+,1856,302,485
+,1351,296,992
+,7898,772,587
+,7855,150,818
+,2196,746,928
+,5648,452,346
+,5779,115,749
+,5268,921,41
+,1800,694,564
+,4400,315,25
+,3451,632,861
+,168,456,365
+,7450,334,56
+,7353,656,199
+,2256,539,227
+,3965,958,785
+,1387,200,23
+,5969,551,869
+,3479,693,687
+,5570,89,999
+,6492,403,199
+,6212,325,617
+,2780,523,966
+,6890,930,682
+,2264,407,151
+,2414,874,437
+,2920,395,381
+,5874,291,353
+,7478,315,1000
+,1011,895,574
+,7449,220,745
+,7978,454,759
+,1441,822,453
+,7126,167,825
+,3990,993,919
+,5030,746,917
+,3813,142,855
+,3002,612,88
+,5006,212,310
+,6583,888,537
+,173,67,955
+,7547,604,774
+,5094,90,6
+,502,654,936
+,3189,424,179
+,6291,473,727
+,1729,773,936
+,1495,204,190
+,61,390,296
+,1183,502,43
+,4872,846,309
+,6003,599,311
+,5231,572,757
+,2915,229,27
+,1106,2,157
+,7168,307,978
+,1458,854,651
+,1500,127,669
+,4485,914,294
+,3639,183,503
+,2481,704,660
+,4588,29,122
+,4622,283,504
+,1844,68,613
+,5860,370,595
+,6566,579,446
+,3141,264,643
+,7312,487,997
+,6843,837,122
+,1925,524,750
+,1983,17,865
+,2441,166,595
+,7667,149,327
+,540,899,709
+,1315,365,167
+,2143,279,369
+,6014,651,933
+,5020,364,49
+,6801,298,542
+,2181,958,78
+,3992,198,784
+,963,187,783
+,7872,613,770
+,1166,556,330
+,4353,323,846
+,5699,701,819
+,7518,277,701
+,4763,704,371
+,2894,547,593
+,2935,843,147
+,107,140,530
+,6316,381,797
+,225,421,348
+,7708,932,166
+,7703,223,158
+,1485,226,851
+,253,814,918
+,5782,628,706
+,6888,975,538
+,7461,544,729
+,1201,719,774
+,5121,116,427
+,6437,938,78
+,1701,838,134
+,6176,17,491
+,1260,319,707
+,3708,142,836
+,3180,911,611
+,4006,781,993
+,500,176,726
+,2738,29,762
+,5432,121,227
+,4129,877,710
+,7918,704,232
+,5554,128,214
+,131,80,435
+,1661,781,802
+,5741,79,19
+,801,495,775
+,3102,43,201
+,2756,33,812
+,4798,525,607
+,1768,480,121
+,7811,259,44
+,6068,308,683
+,3414,772,98
+,2017,126,942
+,3417,210,601
+,4574,204,189
+,1581,359,29
+,1672,149,866
+,2858,964,284
+,6519,593,356
+,352,164,875
+,1643,799,746
+,5491,247,517
+,1760,69,101
+,6861,592,781
+,1360,541,222
+,4236,196,987
+,3486,175,923
+,7328,550,4
+,6272,742,101
+,2889,219,942
+,4068,871,724
+,4056,375,714
+,7355,189,450
+,1553,980,109
+,3971,854,363
+,345,434,219
+,7507,233,417
+,404,779,321
+,6393,477,112
+,3968,139,507
+,6379,369,721
+,3796,570,739
+,3953,84,335
+,1520,118,394
+,6219,467,614
+,2497,319,703
+,7916,861,454
+,1610,567,417
+,7894,875,438
+,5166,877,71
+,2877,861,821
+,7889,961,695
+,6047,183,13
+,4725,503,688
+,3294,405,448
+,3179,674,692
+,1114,122,146
+,5630,410,711
+,4279,104,759
+,2572,913,172
+,4490,372,998
+,143,346,205
+,2930,864,413
+,5259,238,858
+,1878,742,511
+,5506,783,730
+,4593,595,607
+,784,774,808
+,785,659,965
+,6933,364,487
+,6593,617,972
+,247,496,523
+,3236,150,786
+,6864,110,125
+,4194,501,509
+,6098,643,965
+,1858,30,101
+,2177,54,850
+,6673,510,694
+,2628,995,183
+,1708,619,695
+,1232,156,310
+,4549,638,98
+,3538,78,676
+,5317,532,785
+,6543,811,477
+,6806,300,677
+,5861,502,516
+,5344,555,351
+,6362,880,553
+,3984,18,975
+,2034,32,440
+,2922,936,121
+,3160,460,322
+,1276,385,453
+,7557,36,33
+,2307,570,675
+,4266,798,310
+,6512,723,168
+,5145,441,137
+,3853,732,398
+,6899,782,112
+,909,691,502
+,403,567,701
+,233,585,481
+,775,575,874
+,412,518,57
+,1909,269,506
+,4411,994,386
+,5096,692,361
+,7947,291,328
+,3235,28,604
+,5883,131,857
+,1316,357,828
+,7255,597,27
+,3069,912,640
+,4301,389,99
+,754,353,365
+,6314,359,57
+,3549,250,253
+,2641,663,319
+,6884,86,932
+,3545,67,889
+,3660,117,345
+,1037,20,551
+,4484,38,471
+,6503,884,432
+,1597,527,923
+,7101,273,20
+,5037,480,602
+,1859,324,386
+,96,399,330
+,5966,100,827
+,689,102,707
+,4192,210,344
+,1543,514,830
+,7517,683,347
+,3815,629,306
+,4328,992,446
+,6012,508,650
+,4340,997,806
+,1298,860,870
+,7105,219,294
+,2160,48,304
+,7968,411,823
+,6184,639,760
+,1200,94,734
+,3030,592,97
+,2081,344,279
+,7858,580,820
+,870,486,437
+,7654,355,814
+,2562,667,843
+,440,516,823
+,5310,443,679
+,7523,320,204
+,2801,411,257
+,286,527,464
+,2809,781,560
+,2826,902,19
+,2558,720,528
+,4032,191,590
+,7548,218,676
+,3788,843,760
+,4500,478,274
+,5590,653,545
+,3172,629,873
+,3244,928,444
+,1188,579,744
