OP,A1,A2,A3
+,1823,212,462
+,228,474,271
+,3220,122,92
+,3202,826,702
+,2729,846,721
+,2784,617,41
+,2938,855,877
+,3103,151,93
+,3693,254,991
+,2798,405,525
+,2588,693,306
+,2476,839,178
+,3742,974,414
+,2951,463,569
+,1198,563,255
+,1136,473,104
+,1596,812,143
+,3854,12,63
+,2812,799,227
+,2142,202,843
+,668,381,702
+,747,960,660
+,1721,596,600
+,3634,939,832
+,3661,22,66
+,1690,924,661
+,3618,828,131
+,371,926,867
+,3265,828,339
+,259,43,964
+,3282,51,172
+,1218,587,443
+,1676,741,404
+,2941,30,391
+,1403,436,176
+,3927,219,930
+,3616,281,286
+,2752,904,152
+,2433,628,634
+,3655,251,662
+,451,510,421
+,296,563,490
+,3085,89,286
+,361,140,429
+,114,658,905
+,3869,538,255
+,3568,821,556
+,3644,19,391
+,505,730,367
+,2724,557,800
+,3401,352,934
+,2054,514,329
+,1887,276,184
+,3434,326,611
+,1243,30,917
+,2931,797,287
+,2308,828,483
+,887,366,785
+,598,238,997
+,1969,102,253
+,3199,246,272
+,698,835,810
+,344,754,57
+,3479,970,224
+,3627,866,816
+,3606,363,957
+,426,865,177
+,2607,242,606
+,1416,825,755
+,3868,367,935
+,2527,28,720
+,2313,360,970
+,3957,577,145
+,2524,971,192
+,430,829,902
+,2304,504,555
+,2759,179,502
+,1248,92,57
+,2215,616,224
+,3884,539,489
+,3245,339,939
+,3283,206,825
+,2368,348,734
+,545,940,821
+,2243,889,331
+,2879,22,151
+,1188,721,939
+,2910,792,113
+,3139,538,881
+,537,983,74
+,3840,721,964
+,59,405,600
+,1668,344,309
+,1875,139,999
+,3262,749,971
+,3313,810,654
+,2690,498,664
+,1256,178,724
+,2336,575,710
+,429,951,628
+,3819,365,228
+,2504,603,834
+,1802,387,314
+,745,705,301
+,1298,181,746
+,2377,971,718
+,194,586,400
+,2929,789,988
+,112,33,186
+,1287,325,943
+,1221,990,626
+,3180,654,579
+,1723,959,508
+,193,339,763
+,2866,243,355
+,1446,171,651
+,3481,986,90
+,1603,725,686
+,2868,746,907
+,1844,457,11
+,3460,214,255
+,209,69,358
+,146,805,110
+,3359,1,49
+,2712,448,750
+,973,992,170
+,672,423,504
+,2295,387,359
+,3475,384,103
+,2898,490,807
+,3231,591,666
+,3025,703,230
+,3498,462,75
+,2772,866,34
+,1329,20,326
+,1833,974,107
+,3653,350,174
+,40,384,164
+,94,76,560
+,3756,919,95
+,2006,608,628
+,1559,494,721
+,3845,441,965
+,3333,168,621
+,2099,444,160
+,916,103,339
+,19,997,194
+,2604,713,567
+,1214,947,747
+,715,271,676
+,2806,304,243
+,3743,50,402
+,2594,562,860
+,1928,157,55
+,959,3,437
+,2395,301,843
+,2819,640,614
+,775,204,99
+,2393,211,174
+,2613,298,1000
+,1745,484,864
+,2851,315,803
+,88,482,500
+,2757,676,271
+,1959,657,557
+,3764,189,379
+,3691,390,378
+,2730,456,45
+,638,450,476
+,3330,231,857
+,1911,577,63
+,1053,770,713
+,3774,99,87
+,2203,352,827
+,155,423,994
+,2918,603,232
+,2880,62,860
+,1335,838,535
+,3132,988,548
+,3252,887,958
+,2523,586,902
+,3474,487,306
+,2672,404,924
+,2381,731,35
+,2416,584,922
+,1495,819,585
+,557,635,150
+,762,972,775
+,1553,177,971
+,2009,995,216
+,2020,197,129
+,1964,433,80
+,992,445,206
+,3097,642,151
+,3290,609,264
+,2113,932,744
+,1638,826,68
+,1190,397,569
+,20,565,333
+,1499,282,532
+,2452,939,894
+,2571,805,717
+,2108,601,535
+,2033,429,115
+,1311,153,151
+,1585,602,596
+,2953,987,962
+,1264,947,108
+,3513,798,103
+,2722,292,888
+,3216,901,352
+,106,420,270
+,3936,670,497
+,2153,623,484
+,182,176,282
+,3947,147,633
+,3781,697,710
+,1916,39,405
+,3423,900,339
+,1436,243,50
+,15,486,942
+,3024,918,381
+,55,345,837
+,746,310,318
+,2350,863,503
+,2025,712,701
+,1524,995,889
+,3362,137,307
+,2326,761,453
+,197,845,328
+,551,746,426
+,2016,661,91
+,3937,452,216
+,174,843,416
+,2450,496,777
+,797,888,382
+,3336,57,527
+,3078,162,67
+,1480,726,518
+,1541,138,799
+,774,536,900
+,2847,29,177
+,437,896,852
+,3592,857,59
+,1193,33,467
+,3264,940,369
+,1678,203,280
+,789,843,475
+,3302,406,650
+,3916,126,697
+,595,247,381
+,266,608,456
+,2178,983,891
+,1296,600,564
+,949,352,167
+,2972,915,264
+,1612,850,705
+,2679,291,28
+,2889,50,166
+,3972,585,798
+,1111,219,877
+,1165,662,230
+,2143,211,275
+,3131,419,525
+,3072,885,799
+,1071,785,698
+,2556,485,933
+,3246,662,177
+,1369,820,8
+,404,258,622
+,1523,965,312
+,1957,990,726
+,530,281,433
+,1727,385,872
+,2566,470,258
+,3566,477,309
+,2448,533,844
+,3043,406,598
+,1419,7,523
+,366,989,863
+,2294,383,574
+,2389,608,623
+,842,305,700
+,3223,493,65
+,434,283,655
+,2159,882,283
+,716,671,728
+,309,913,667
+,2139,192,153
+,3863,783,246
+,35,58,824
+,73,821,829
+,2391,413,676
+,1283,697,143
+,685,26,671
+,1827,302,265
+,1954,428,414
+,2157,754,36
+,1380,725,585
+,2960,194,351
+,1848,730,227
+,945,547,653
+,1227,487,928
+,36,687,367
+,2451,307,865
